head_n,glyph,espanol,zan_k,zan_name,zanci,ceci,fuente,cotejo_fuente,cotejo_nota
17,䎡,Contención,1,初一,赤卉方銳利進以退,赤卉方銳退以動也,wikisource_provisional,,
17,䎡,Contención,2,次二,䎡其心作疾,䎡其心中無勇也,kanripo,,
17,䎡,Contención,3,次三,䎡其䣛守其節雖勿肆終無拂,䎡其䣛體不可肆也,kanripo,,
17,䎡,Contención,4,次四,䎡其哇三歳不噣,䎡哇不噣時數失也,kanripo,,
17,䎡,Contención,5,次五,黃菌不誕俟于慶雲,黃菌不誕俟逑耦也,kanripo,,
17,䎡,Contención,6,次六,縮失時或承之菑,縮失時坐逋後也,kanripo,,
17,䎡,Contención,7,次七,詘其節執其術共所歾,詘節共歾内有主也,kanripo,,
17,䎡,Contención,8,次八,家枯木丁衝振其枝小人有䎡三郄鉤羅,冥賊之傒時無吉也,kanripo,,□→家(Sima)
17,䎡,Contención,9,上九,悔縮往去來複,悔縮之複得在後也,wikisource_provisional,,
18,傒,Espera,1,初一,冥賊傒天凶,冥賊之傒時無吉也,wikisource_provisional,,
18,傒,Espera,2,次二,冥德傒天昌,冥德之傒昌將日也,kanripo,,
18,傒,Espera,3,次三,傒後時,傒而後之解也,kanripo,,
18,傒,Espera,4,次四,詘其角直其足維以傒榖,屈角直足不伎刺也,kanripo,,
18,傒,Espera,5,次五,大爵集于宫庸小人也傒空○,宫庸之爵不可空得也,kanripo,,
18,傒,Espera,6,次六,傒福貞貞食于金,傒福貞貞正可服也,kanripo,,
18,傒,Espera,7,次七,傒禍介介凶人之郵,傒禍介介與禍期也,kanripo,,
18,傒,Espera,8,次八,不禍禍傒天活我,禍不禍非厥訧也,wikisource_provisional,,
18,傒,Espera,9,上九,傒尫尫天撲之顙,傒尫之撲終不可治也,wikisource_provisional,,
19,從,Seguimiento,1,初一,日幽嬪之月冥隨之基,日嬪月隨臣應基也,kanripo,,
19,從,Seguimiento,2,次二,方出旭旭朋從爾醜,方出朋從不知所之也,kanripo,,
19,從,Seguimiento,3,次三,人不攻之自牽從之,人不攻之自然證也,kanripo,,
19,從,Seguimiento,4,次四,鳴從不臧有女承其血匡亡,鳴從之亡奚足朋也,kanripo,,
19,從,Seguimiento,5,次五,從水之科滿,從水滿科不自越也,kanripo,,
19,從,Seguimiento,6,次六,從其目失其腹,從目失腹欲丕從也,kanripo,,
19,從,Seguimiento,7,次七,拂出溱溱開明而前,冥進否邪作退也○,kanripo,kanripo_四部叢刊_cotejo,"測 recuperado (anclado en 贊辭, cortado en marcador; termina en 也)"
19,從,Seguimiento,8,次八,從不淑禍飛不逐,從不淑禍不可訟也,wikisource_provisional,,
19,從,Seguimiento,9,上九,從徽徽乃升於階終,從徽徽後得功也,wikisource_provisional,,
20,進,Avance,1,初一,冥進否作退母,冥進否邪作退也,kanripo,,
20,進,Avance,2,次二,進以中刑大人獨見,進以中刑刑不可外也,kanripo,,
20,進,Avance,3,次三,狂章章不得中行,狂章章進不中也,kanripo,,
20,進,Avance,4,次四,日飛懸隂萬物融融,飛懸隂君道隆也,kanripo,,
20,進,Avance,5,次五,進以欋䟽或杖之扶,進以欋䟽制于尊也,kanripo,,
20,進,Avance,6,次六,進以髙明受祉無疆,進以髙明其道迂也,kanripo,,
20,進,Avance,7,次七,進非其以聽咎窒耳,進非其以毀滋章也,kanripo,,
20,進,Avance,8,次八,進于淵君子用舩,進淵且舩以道行也,kanripo,,
20,進,Avance,9,上九,逆憑山川三歳不還,逆憑山川終不可長也和貞測曰震于廷和正俱亡也,kanripo,,
21,釋,Liberación,1,初一,動而無名酋,動而無名不可得名也,ctext_verificado,,
21,釋,Liberación,2,次二,動于響景,動于響景不足觀聽也,ctext_verificado,,
21,釋,Liberación,3,次三,風動雷興從其高崇,風動雷興動有為也,ctext_verificado,,
21,釋,Liberación,4,次四,動之丘陵失澤朋,動之丘陵失下危也,ctext_verificado,,
21,釋,Liberación,5,次五,和釋之脂四國之夷,和釋之脂民說無疆也,ctext_verificado,,
21,釋,Liberación,6,次六,震于廷喪其和貞,震于廷和正俱亡也,ctext_verificado,,
21,釋,Liberación,7,次七,震震不侮濯漱其訽,震震不侮解恥無方也,kanripo,,
21,釋,Liberación,8,次八,震于利巔仆死,震于利與死偕行也,kanripo,,
21,釋,Liberación,9,上九,今獄後穀終說桎梏,今獄後穀于彼釋殃也,ctext_verificado,,
22,格,Resistencia,1,初一,格內善失貞類,格內善中不宵也,wikisource_provisional,,
22,格,Resistencia,2,次二,格内惡幽貞類,格内惡幽貞妙也,kanripo,,
22,格,Resistencia,3,次三,裳格鞶鈎渝,裳格鞶鈎無以制也,kanripo,,
22,格,Resistencia,4,次四,畢格禽鳥之貞,畢格禽正法位也,kanripo,,
22,格,Resistencia,5,次五,膠漆釋弓不射角木離,膠漆釋信不結也,kanripo,,
22,格,Resistencia,6,次六,息金消石往小來弈,息金消石美日大也,kanripo,,
22,格,Resistencia,7,次七,格其珍類龜緺厲,格其珍類無以自匡也,kanripo,,
22,格,Resistencia,8,次八,格彼鞶堅君子得時小人憂否内,載幽執夷易其内也,kanripo,,
22,格,Resistencia,9,上九,郭其目鱎其角不庳其體濮,郭目鱎角還自傷也,wikisource_provisional,,
23,夷,Holgura,1,初一,載幽貳執夷內,載幽執夷易其內也,wikisource_provisional,,
23,夷,Holgura,2,次二,隂夷冒于天罔,隂夷冒罔䟽不失也,kanripo,,
23,夷,Holgura,3,次三,柔嬰兒于號三日不嗄,嬰兒于號中心和也,kanripo,,
23,夷,Holgura,4,次四,夷其牙或飫之徒,夷其牙食不足嘉也,kanripo,,
23,夷,Holgura,5,次五,中夷無不利,中夷之利其道多也,kanripo,,
23,夷,Holgura,6,次六,夷于廬其宅丘虚,夷于廬厥德亡也,kanripo,,
23,夷,Holgura,7,次七,榦柔榦弱離木艾金夷,榦柔艾金弱勝彊也,kanripo,,
